Budget,N,d_model,layers,heads,LR,Tokens,dataset,D_N_ratio
1e15,614400,80,8,4,0.00344,271000000.0,tss,441.52
1e15,614400,80,8,4,0.00688,271000000.0,tss,441.52
1e15,614400,80,8,4,0.0138,271000000.0,tss,441.52
1e15,884736,96,8,4,0.00281,188000000.0,tss,212.92
1e15,884736,96,8,4,0.00561,188000000.0,tss,212.92
1e15,884736,96,8,4,0.0112,188000000.0,tss,212.92
1e15,1204224,112,8,4,0.00236,138000000.0,tss,114.93
1e15,1204224,112,8,4,0.00472,138000000.0,tss,114.93
1e15,1204224,112,8,4,0.00944,138000000.0,tss,114.93
1e15,1572864,128,8,8,0.00203,106000000.0,tss,67.37
1e15,1572864,128,8,8,0.00406,106000000.0,tss,67.37
1e15,1572864,128,8,8,0.00813,106000000.0,tss,67.37
1e15,1990656,144,8,8,0.00178,83700000.0,tss,42.06
1e15,1990656,144,8,8,0.00356,83700000.0,tss,42.06
1e15,1990656,144,8,8,0.00712,83700000.0,tss,42.06
1e15,2457600,160,8,8,0.00158,67800000.0,tss,27.59
1e15,2457600,160,8,8,0.00317,67800000.0,tss,27.59
1e15,2457600,160,8,8,0.00633,67800000.0,tss,27.59
1e15,3538944,192,8,8,0.00129,47100000.0,tss,13.31
1e15,3538944,192,8,8,0.00258,47100000.0,tss,13.31
1e15,3538944,192,8,8,0.00516,47100000.0,tss,13.31
1e15,4153344,208,8,8,0.00118,40100000.0,tss,9.66
1e15,4153344,208,8,8,0.00236,40100000.0,tss,9.66
1e15,4153344,208,8,8,0.00472,40100000.0,tss,9.66
1e15,4816896,224,8,8,0.00109,34600000.0,tss,7.18
1e15,4816896,224,8,8,0.00217,34600000.0,tss,7.18
1e15,4816896,224,8,8,0.00434,34600000.0,tss,7.18
