Budget,N,d_model,layers,heads,LR,Tokens,dataset,D_N_ratio
1e+15,884736,110,6,4,0.000702,188000000.0,tss,212.92
1e+15,884736,110,6,4,0.0014,188000000.0,tss,212.92
1e+15,1990656,166,6,8,0.0142,83700000.0,tss,42.06
1e+15,1990656,166,6,8,0.0285,83700000.0,tss,42.06
1e+15,2457600,184,6,8,0.0127,67800000.0,tss,27.59
1e+15,2457600,184,6,8,0.0253,67800000.0,tss,27.59
1e+15,3538944,221,6,8,0.000322,47100000.0,tss,13.31
1e+15,3538944,221,6,8,0.000645,47100000.0,tss,13.31
1e+15,4153344,240,6,8,0.00944,40100000.0,tss,9.66
1e+15,4153344,240,6,8,0.0189,40100000.0,tss,9.66
1e+15,4816896,258,6,8,0.000273,34600000.0,tss,7.18
1e+15,4816896,258,6,8,0.000545,34600000.0,tss,7.18
