Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
1e+16,6,144,8,0.0005,1492992,1440000,2932992,193.74,568000000.0,sp6
1e+16,6,160,8,0.0005,1843200,1600000,3443200,140.58,484000000.0,sp6
1e+16,6,176,8,0.0005,2230272,1760000,3990272,104.68,418000000.0,sp6
1e+16,6,192,8,0.0005,2654208,1920000,4574208,79.66,364000000.0,sp6
1e+16,6,208,8,0.0005,3115008,2080000,5195008,61.76,321000000.0,sp6
1e+16,6,224,8,0.0005,3612672,2240000,5852672,48.66,285000000.0,sp6
1e+16,6,240,8,0.0005,4147200,2400000,6547200,38.88,255000000.0,sp6
1e+16,6,264,8,0.0005,5018112,2640000,7658112,28.42,218000000.0,sp6
1e+16,6,280,8,0.0005,5644800,2800000,8444800,23.37,197000000.0,sp6
1e+16,6,304,8,0.0005,6653952,3040000,9693952,17.74,172000000.0,sp6
1e+16,6,328,8,0.0005,7746048,3280000,11026048,13.71,151000000.0,sp6
1e+16,6,352,8,0.0005,8921088,3520000,12441088,10.77,134000000.0,sp6
