Budget,N_logic,N_emb,N,d_model,layers,heads,LR,Tokens,dataset,D_N_ratio
6e15,1327104,960000,2287104,96,12,4,0.0005,437000000.0,tss,191.17
6e15,1557504,1040000,2597504,104,12,4,0.0005,385000000.0,tss,148.21
6e15,1679616,1080000,2759616,108,12,4,0.0005,362000000.0,tss,131.31
6e15,1937664,1160000,3097664,116,12,4,0.0005,323000000.0,tss,104.22
6e15,2073600,1200000,3273600,120,12,4,0.0005,305000000.0,tss,93.31
6e15,2359296,1280000,3639296,128,12,8,0.0005,275000000.0,tss,75.5
6e15,2509056,1320000,3829056,132,12,8,0.0005,261000000.0,tss,68.21
6e15,2822400,1400000,4222400,140,12,8,0.0005,237000000.0,tss,56.09
6e15,3154176,1480000,4634176,148,12,8,0.0005,216000000.0,tss,46.56
6e15,3326976,1520000,4846976,152,12,8,0.0005,206000000.0,tss,42.57
6e15,3686400,1600000,5286400,160,12,8,0.0005,189000000.0,tss,35.78
6e15,4064256,1680000,5744256,168,12,8,0.0005,174000000.0,tss,30.31
6e15,4460544,1760000,6220544,176,12,8,0.0005,161000000.0,tss,25.84
6e15,5089536,1880000,6969536,188,12,8,0.0005,143000000.0,tss,20.59
6e15,5531904,1960000,7491904,196,12,8,0.0005,133000000.0,tss,17.82
6e15,5992704,2040000,8032704,204,12,8,0.0005,124000000.0,tss,15.5
6e15,6718464,2160000,8878464,216,12,8,0.0005,113000000.0,tss,12.69
6e15,7225344,2240000,9465344,224,12,8,0.0005,106000000.0,tss,11.16
