Budget,N,d_model,layers,heads,LR,Tokens,D_N_ratio,dataset
1e14,18432,16,6,4,0.038,904000000,49057.32,256
1e14,18432,16,6,4,0.076,904000000,49057.32,256
1e14,18432,16,6,4,0.152,904000000,49057.32,256
1e14,41472,24,6,4,0.022,402000000,9690.33,256
1e14,41472,24,6,4,0.0439,402000000,9690.33,256
1e14,41472,24,6,4,0.0878,402000000,9690.33,256
1e14,73728,32,6,4,0.0149,226000000,3066.08,256
1e14,73728,32,6,4,0.0298,226000000,3066.08,256
1e14,73728,32,6,4,0.0595,226000000,3066.08,256
1e14,115200,40,6,4,0.011,145000000,1255.87,256
1e14,115200,40,6,4,0.022,145000000,1255.87,256
1e14,115200,40,6,4,0.044,145000000,1255.87,256
1e14,165888,48,6,4,0.0086,100000000,605.65,256
1e14,165888,48,6,4,0.0172,100000000,605.65,256
1e14,165888,48,6,4,0.0344,100000000,605.65,256
1e14,294912,64,6,4,0.00583,56500000,191.63,256
1e14,294912,64,6,4,0.0117,56500000,191.63,256
1e14,294912,64,6,4,0.0233,56500000,191.63,256
1e14,373248,72,6,4,0.00497,44700000,119.63,256
1e14,373248,72,6,4,0.00994,44700000,119.63,256
1e14,373248,72,6,4,0.0199,44700000,119.63,256
1e14,557568,88,6,4,0.00379,29900000,53.61,256
1e14,557568,88,6,4,0.00758,29900000,53.61,256
1e14,557568,88,6,4,0.0152,29900000,53.61,256
1e14,903168,112,6,4,0.00274,18500000,20.43,256
1e14,903168,112,6,4,0.00547,18500000,20.43,256
1e14,903168,112,6,4,0.0109,18500000,20.43,256
1e14,1331712,136,6,8,0.0021,12500000,9.4,256
1e14,1331712,136,6,8,0.00421,12500000,9.4,256
1e14,1331712,136,6,8,0.00842,12500000,9.4,256
1e14,2032128,168,6,8,0.00158,8200000,4.04,256
1e14,2032128,168,6,8,0.00316,8200000,4.04,256
1e14,2032128,168,6,8,0.00632,8200000,4.04,256
1e14,3115008,208,6,8,0.00118,5350000,1.72,256
1e14,3115008,208,6,8,0.00237,5350000,1.72,256
1e14,3115008,208,6,8,0.00474,5350000,1.72,256
