Budget,N,d_model,layers,heads,LR,Tokens,dataset,D_N_ratio
1e14,18432,16,6,4,0.0095,904000000.0,256,49057.32
1e14,18432,16,6,4,0.019,904000000.0,256,49057.32
1e14,41472,24,6,4,0.0311,402000000.0,256,9690.33
1e14,41472,24,6,4,0.0621,402000000.0,256,9690.33
1e14,73728,32,6,4,0.119,226000000.0,256,3066.08
1e14,73728,32,6,4,0.238,226000000.0,256,3066.08
1e14,115200,40,6,4,0.088,145000000.0,256,1255.87
1e14,115200,40,6,4,0.176,145000000.0,256,1255.87
1e14,294912,64,6,4,0.0466,56500000.0,256,191.63
1e14,294912,64,6,4,0.0932,56500000.0,256,191.63
1e14,1331712,136,6,8,0.000525,12500000.0,256,9.4
1e14,1331712,136,6,8,0.00105,12500000.0,256,9.4
1e14,2032128,168,6,8,0.00223,8200000.0,256,4.04
1e14,2032128,168,6,8,0.00447,8200000.0,256,4.04
1e14,3115008,208,6,8,0.000295,5350000.0,256,1.72
1e14,3115008,208,6,8,0.00059,5350000.0,256,1.72
