Budget,N,d_model,layers,heads,LR,Tokens,dataset,D_N_ratio
3e+14,165888,48,6,4,0.00948,301000000.0,256,1816.94
3e+14,165888,48,6,4,0.0135,301000000.0,256,1816.94
3e+14,165888,48,6,4,0.019,301000000.0,256,1816.94
3e+14,225792,56,6,4,0.00788,221000000.0,256,980.74
3e+14,225792,56,6,4,0.0113,221000000.0,256,980.74
3e+14,225792,56,6,4,0.0158,221000000.0,256,980.74
3e+14,294912,64,6,4,0.00672,170000000.0,256,574.89
3e+14,294912,64,6,4,0.0096,170000000.0,256,574.89
3e+14,294912,64,6,4,0.0134,170000000.0,256,574.89
3e+14,373248,72,6,4,0.00583,134000000.0,256,358.9
3e+14,373248,72,6,4,0.00833,134000000.0,256,358.9
3e+14,373248,72,6,4,0.0117,134000000.0,256,358.9
3e+14,557568,88,6,4,0.00459,89700000.0,256,160.83
3e+14,557568,88,6,4,0.00655,89700000.0,256,160.83
3e+14,557568,88,6,4,0.00917,89700000.0,256,160.83
3e+14,663552,96,6,4,0.00413,75400000.0,256,113.56
3e+14,663552,96,6,4,0.0059,75400000.0,256,113.56
3e+14,663552,96,6,4,0.00826,75400000.0,256,113.56
3e+14,903168,112,6,4,0.00343,55400000.0,256,61.3
3e+14,903168,112,6,4,0.00491,55400000.0,256,61.3
3e+14,903168,112,6,4,0.00687,55400000.0,256,61.3
3e+14,1179648,128,6,8,0.00293,42400000.0,256,35.93
3e+14,1179648,128,6,8,0.00418,42400000.0,256,35.93
3e+14,1179648,128,6,8,0.00585,42400000.0,256,35.93
3e+14,1492992,144,6,8,0.00254,33500000.0,256,22.43
3e+14,1492992,144,6,8,0.00363,33500000.0,256,22.43
3e+14,1492992,144,6,8,0.00508,33500000.0,256,22.43
3e+14,1843200,160,6,8,0.00224,27100000.0,256,14.72
3e+14,1843200,160,6,8,0.0032,27100000.0,256,14.72
3e+14,1843200,160,6,8,0.00448,27100000.0,256,14.72
3e+14,2437632,184,6,8,0.00189,20500000.0,256,8.41
3e+14,2437632,184,6,8,0.00271,20500000.0,256,8.41
3e+14,2437632,184,6,8,0.00379,20500000.0,256,8.41
