Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
6e+15,6,104,8,0.0005,778752,1040000,1818752,302.31,550000000.0,tss
6e+15,6,112,8,0.0005,903168,1120000,2023168,244.31,494000000.0,tss
6e+15,6,128,8,0.0005,1179648,1280000,2459648,165.29,407000000.0,tss
6e+15,6,144,8,0.0005,1492992,1440000,2932992,116.25,341000000.0,tss
6e+15,6,160,8,0.0005,1843200,1600000,3443200,84.35,290000000.0,tss
6e+15,6,176,8,0.0005,2230272,1760000,3990272,62.81,251000000.0,tss
6e+15,6,184,8,0.0005,2437632,1840000,4277632,54.65,234000000.0,tss
6e+15,6,200,8,0.0005,2880000,2000000,4880000,41.99,205000000.0,tss
6e+15,6,216,8,0.0005,3359232,2160000,5519232,32.83,181000000.0,tss
6e+15,6,232,8,0.0005,3875328,2320000,6195328,26.05,161000000.0,tss
6e+15,6,248,8,0.0005,4428288,2480000,6908288,20.95,145000000.0,tss
6e+15,6,272,8,0.0005,5326848,2720000,8046848,15.44,124000000.0,tss
6e+15,6,280,8,0.0005,5644800,2800000,8444800,14.02,118000000.0,tss
6e+15,6,304,8,0.0005,6653952,3040000,9693952,10.64,103000000.0,tss
6e+15,6,328,8,0.0005,7746048,3280000,11026048,8.23,90700000.0,tss
6e+15,6,352,8,0.0005,8921088,3520000,12441088,6.46,80400000.0,tss
6e+15,6,376,8,0.0005,10179072,3760000,13939072,5.15,71700000.0,tss
6e+15,6,408,8,0.0005,11985408,4080000,16065408,3.87,62200000.0,tss
