Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
3e+16,12,160,8,0.0005,3686400,1600000,5286400,178.92,946000000.0,sp6
3e+16,12,168,8,0.0005,4064256,1680000,5744256,151.53,870000000.0,sp6
3e+16,12,184,8,0.0005,4875264,1840000,6715264,110.88,745000000.0,sp6
3e+16,12,200,8,0.0005,5760000,2000000,7760000,83.03,644000000.0,sp6
3e+16,12,216,8,0.0005,6718464,2160000,8878464,63.43,563000000.0,sp6
3e+16,12,232,8,0.0005,7750656,2320000,10070656,49.3,496000000.0,sp6
3e+16,12,248,8,0.0005,8856576,2480000,11336576,38.91,441000000.0,sp6
3e+16,12,272,8,0.0005,10653696,2720000,13373696,27.96,374000000.0,sp6
3e+16,12,288,8,0.0005,11943936,2880000,14823936,22.75,337000000.0,sp6
3e+16,12,304,8,0.0005,13307904,3040000,16347904,18.71,306000000.0,sp6
3e+16,12,328,8,0.0005,15492096,3280000,18772096,14.19,266000000.0,sp6
3e+16,12,352,8,0.0005,17842176,3520000,21362176,10.96,234000000.0,sp6
