Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
3e+16,8,160,8,0.0004,2457600,5120000,7577600,87.0776,659839500.0,sp6
3e+16,8,200,8,0.0004,3840000,6400000,10240000,47.6837,488281200.0,sp6
3e+16,8,248,8,0.0004,5904384,7936000,13840384,26.102,361261700.0,sp6
3e+16,8,312,8,0.0004,9345024,9984000,19329024,13.3829,258678300.0,sp6
3e+16,10,344,8,0.0004,14200320,11008000,25208320,7.8683,198347200.0,sp6
3e+16,10,432,8,0.0004,22394880,13824000,36218880,3.8115,138049500.0,sp6
3e+16,8,600,8,0.0004,34560000,19200000,53760000,1.73,93005950.0,sp6
3e+16,10,672,8,0.0004,54190080,21504000,75694080,0.8727,66055360.0,sp6
3e+16,8,936,8,0.0004,84105216,29952000,114057216,0.3843,43837650.0,sp6
3e+16,16,824,8,0.0003,130363392,26368000,156731392,0.2035,31901710.0,sp6
