method,C,N_opt,loss_opt,LR_opt,layers_opt,d_model_opt,source,D_opt
empirical,1000000000000000.0,2032128.0,7.3611578941345215,0.0004,6,168,min_loss,82015831.02376753
empirical,3000000000000000.0,2230272.0,6.647792816162109,0.0004,6,176,min_loss,224187901.74471992
empirical,6000000000000000.0,2032128.0,6.328701972961426,0.0004,6,168,min_loss,492094986.1426052
empirical,1e+16,3612672.0,6.093902587890625,0.0004,6,224,min_loss,461339049.5086924
empirical,3e+16,3840000.0,5.205686092376709,0.0004,8,200,min_loss,1302083333.3333333
empirical,6e+16,4478976.0,4.779745578765869,0.0004,8,216,min_loss,2232653177.8692274
quadratic,1000000000000000.0,4406445.056361214,7.42187365328185,0.0004,6,240,quadratic_vertex,37823384.73188586
quadratic,3000000000000000.0,4875558.030971459,6.799956936337331,0.0004,8,216,quadratic_vertex,102552363.6112633
quadratic,6000000000000000.0,5400853.827784097,6.462400390091904,0.0004,6,272,quadratic_vertex,185155909.02601552
quadratic,1e+16,7907058.0051401025,6.235810538346044,0.0004,8,280,quadratic_vertex,210782147.49192744
quadratic,3e+16,7888263.605876693,5.383014958091884,0.0004,8,312,quadratic_vertex,633853056.8723693
quadratic,6e+16,10827157.52877136,4.969752154865493,0.0004,8,296,quadratic_vertex,923603445.6344311
