Budget,layers,d_model,heads,LR,N_non_emb,N_emb,N,D_N_ratio,Tokens,dataset
6e+15,6,152,8,0.00034,1663488,4864000,6527488,23.4697,153198300.0,sp6
6e+15,6,152,8,0.0004,1663488,4864000,6527488,23.4697,153198300.0,sp6
6e+15,8,136,8,0.00034,1775616,4352000,6127616,26.6328,163195600.0,sp6
6e+15,8,136,8,0.0004,1775616,4352000,6127616,26.6328,163195600.0,sp6
6e+15,8,144,8,0.00034,1990656,4608000,6598656,22.9662,151546000.0,sp6
6e+15,8,144,8,0.0004,1990656,4608000,6598656,22.9662,151546000.0,sp6
6e+15,6,168,8,0.00034,2032128,5376000,7408128,18.2215,134986900.0,sp6
6e+15,6,168,8,0.0004,2032128,5376000,7408128,18.2215,134986900.0,sp6
6e+15,8,152,8,0.0004,2217984,4864000,7081984,19.9384,141203400.0,sp6
6e+15,6,176,8,0.0004,2230272,5632000,7862272,16.1772,127189700.0,sp6
