method,C,N_opt,loss_opt,LR_opt,layers_opt,d_model_opt,source,D_opt
empirical,1000000000000000.0,2032128.0,7.3611578941345215,0.0004,6,168,min_loss,82015831.02376753
empirical,3000000000000000.0,2230272.0,6.647792816162109,0.0004,6,176,min_loss,224187901.74471992
empirical,6000000000000000.0,2032128.0,6.328701972961426,0.0004,6,168,min_loss,492094986.1426052
empirical,1e+16,4816896.0,5.9900312423706055,0.00038,8,224,min_loss,346004287.13151926
empirical,3e+16,3840000.0,5.205686092376709,0.0004,8,200,min_loss,1302083333.3333333
empirical,6e+16,4478976.0,4.779745578765869,0.0004,8,216,min_loss,2232653177.8692274
quadratic,1000000000000000.0,4406445.056361214,7.42187365328185,0.0004,6,240,quadratic_vertex_envelope,37823384.73188586
quadratic,3000000000000000.0,4875558.030971459,6.799956936337331,0.0004,8,216,quadratic_vertex_envelope,102552363.6112633
quadratic,6000000000000000.0,6039224.387158357,6.471447931098229,0.0004,6,272,quadratic_vertex_envelope,165584177.02219725
quadratic,1e+16,7031586.999966957,6.120818899168981,0.0004,8,280,quadratic_vertex_envelope,237025676.66083044
quadratic,3e+16,7534714.656523393,5.392371323793604,0.00035,8,280,quadratic_vertex_envelope,663595136.369379
quadratic,6e+16,9539495.146717036,4.956648094883093,0.0004,8,296,quadratic_vertex_envelope,1048273503.5974565
