Budget,Besiroglu_N_Opt,Params,d_model,layers,heads,LR,Cost_Val
1e+13,2.20e+05,24576,32,2,4,0.001,1e+13
1e+13,2.20e+05,24576,32,2,4,0.00316,1e+13
1e+13,2.20e+05,24576,32,2,4,0.01,1e+13
1e+13,2.20e+05,24576,32,2,4,0.0316,1e+13
1e+13,2.20e+05,24576,32,2,4,0.1,1e+13
1e+13,2.20e+05,36864,32,3,4,0.001,1e+13
1e+13,2.20e+05,36864,32,3,4,0.00316,1e+13
1e+13,2.20e+05,36864,32,3,4,0.01,1e+13
1e+13,2.20e+05,36864,32,3,4,0.0316,1e+13
1e+13,2.20e+05,36864,32,3,4,0.1,1e+13
1e+13,2.20e+05,55296,48,2,4,0.001,1e+13
1e+13,2.20e+05,55296,48,2,4,0.00316,1e+13
1e+13,2.20e+05,55296,48,2,4,0.01,1e+13
1e+13,2.20e+05,55296,48,2,4,0.0316,1e+13
1e+13,2.20e+05,55296,48,2,4,0.1,1e+13
1e+13,2.20e+05,98304,32,8,4,0.001,1e+13
1e+13,2.20e+05,98304,32,8,4,0.00316,1e+13
1e+13,2.20e+05,98304,32,8,4,0.01,1e+13
1e+13,2.20e+05,98304,32,8,4,0.0316,1e+13
1e+13,2.20e+05,98304,32,8,4,0.1,1e+13
1e+13,2.20e+05,153600,80,2,4,0.001,1e+13
1e+13,2.20e+05,153600,80,2,4,0.00316,1e+13
1e+13,2.20e+05,153600,80,2,4,0.01,1e+13
1e+13,2.20e+05,153600,80,2,4,0.0316,1e+13
1e+13,2.20e+05,153600,80,2,4,0.1,1e+13
1e+13,2.20e+05,230400,80,3,4,0.001,1e+13
1e+13,2.20e+05,230400,80,3,4,0.00316,1e+13
1e+13,2.20e+05,230400,80,3,4,0.01,1e+13
1e+13,2.20e+05,230400,80,3,4,0.0316,1e+13
1e+13,2.20e+05,230400,80,3,4,0.1,1e+13
1e+13,2.20e+05,393216,64,8,4,0.001,1e+13
1e+13,2.20e+05,393216,64,8,4,0.00316,1e+13
1e+13,2.20e+05,393216,64,8,4,0.01,1e+13
