Budget,Besiroglu_N_Opt,Params,d_model,layers,heads,LR,Cost_Val
1e+13,2.20e+05,98304,64,2,16,0.001,1e+13
1e+13,2.20e+05,98304,64,2,16,0.00316,1e+13
1e+13,2.20e+05,98304,64,2,16,0.01,1e+13
1e+13,2.20e+05,98304,64,2,16,0.0316,1e+13
1e+13,2.20e+05,98304,64,2,16,0.1,1e+13
1e+13,2.20e+05,147456,64,3,16,0.001,1e+13
1e+13,2.20e+05,147456,64,3,16,0.00316,1e+13
1e+13,2.20e+05,147456,64,3,16,0.01,1e+13
1e+13,2.20e+05,147456,64,3,16,0.0316,1e+13
1e+13,2.20e+05,147456,64,3,16,0.1,1e+13
1e+13,2.20e+05,294912,64,6,16,0.001,1e+13
1e+13,2.20e+05,294912,64,6,16,0.00316,1e+13
1e+13,2.20e+05,294912,64,6,16,0.01,1e+13
1e+13,2.20e+05,294912,64,6,16,0.0316,1e+13
1e+13,2.20e+05,294912,64,6,16,0.1,1e+13
1e+13,2.20e+05,552960,96,5,16,0.001,1e+13
1e+13,2.20e+05,552960,96,5,16,0.00316,1e+13
1e+13,2.20e+05,552960,96,5,16,0.01,1e+13
1e+13,2.20e+05,552960,96,5,16,0.0316,1e+13
1e+13,2.20e+05,552960,96,5,16,0.1,1e+13
1e+13,2.20e+05,884736,192,2,16,0.001,1e+13
1e+13,2.20e+05,884736,192,2,16,0.00316,1e+13
1e+13,2.20e+05,884736,192,2,16,0.01,1e+13
1e+13,2.20e+05,884736,192,2,16,0.0316,1e+13
1e+13,2.20e+05,884736,192,2,16,0.1,1e+13
3e+13,3.87e+05,98304,64,2,16,0.001,3e+13
3e+13,3.87e+05,98304,64,2,16,0.00316,3e+13
3e+13,3.87e+05,98304,64,2,16,0.01,3e+13
3e+13,3.87e+05,98304,64,2,16,0.0316,3e+13
3e+13,3.87e+05,98304,64,2,16,0.1,3e+13
3e+13,3.87e+05,147456,64,3,16,0.001,3e+13
3e+13,3.87e+05,147456,64,3,16,0.00316,3e+13
3e+13,3.87e+05,147456,64,3,16,0.01,3e+13
3e+13,3.87e+05,147456,64,3,16,0.0316,3e+13
3e+13,3.87e+05,147456,64,3,16,0.1,3e+13
3e+13,3.87e+05,245760,64,5,16,0.001,3e+13
3e+13,3.87e+05,245760,64,5,16,0.00316,3e+13
3e+13,3.87e+05,245760,64,5,16,0.01,3e+13
3e+13,3.87e+05,245760,64,5,16,0.0316,3e+13
3e+13,3.87e+05,245760,64,5,16,0.1,3e+13
3e+13,3.87e+05,393216,128,2,16,0.001,3e+13
3e+13,3.87e+05,393216,128,2,16,0.00316,3e+13
3e+13,3.87e+05,393216,128,2,16,0.01,3e+13
3e+13,3.87e+05,393216,128,2,16,0.0316,3e+13
3e+13,3.87e+05,393216,128,2,16,0.1,3e+13
3e+13,3.87e+05,614400,160,2,16,0.001,3e+13
